Date,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
1990 October,454,559,689,842,634
1991 October,482,592,730,888,672
1992 October,493,610,755,905,691
1993 October,510,627,773,930,710
1994 October,516,641,785,946,722
1995 October,531,661,805,965,741
1996 October,541,675,819,988,755
1997 October,555,685,822,989,762
1998 October,589,729,881,1053,813
1999 October,628,770,916,1086,850
2000 October,683,830,979,1170,913
2001 October,695,866,1027,1218,954
2002 October,729,891,1047,1257,981
2003 October,731,884,1040,1223,970
2004 October,727,886,1052,1245,980
2005 October,724,888,1052,1248,979
2006 October,740,896,1067,1271,995
2007 October,740,900,1061,1261,992
2008 October,764,927,1095,1293,1021
2009 October,758,926,1096,1299,1018
2010 October,777,949,1123,1329,1048
2011 October,819,977,1148,1356,1073
2012 October,837,1007,1183,1411,1108
2013 October,873,1032,1211,1461,1138
2014 October,896,1067,1251,1466,1170
2015 October,937,1103,1286,1516,1208
2016 October,957,1132,1326,1525,1240
2017 October,1013,1194,1403,1589,1308
2018 October,1081,1261,1468,1647,1370
2019 October,1142,1361,1563,1730,1465
2020 October,1204,1421,1637,1854,1536
2021 October,1217,1439,1680,1918,1570
2022 October,1306,1527,1779,2018,1665
2023 October,1414,1691,1958,2168,1830
2024 October,1448,1715,1972,2185,1852
2025 October,1491,1761,2045,2294,1917
